"","X.2","X158","V1"
"1","Afghanistan",4,3010
"2","Albania",8,4005
"3","Algeria",12,1010
"4","Andorra",20,4008
"5","Angola",24,1020
"6","Anguilla",660,2005
"7","Antigua and Barbuda",28,2010
"8","Argentina",32,2020
"9","Armenia",51,4007
"10","Aruba",533,2025
"11","Australia",36,5020
"12","Austria",40,4010
"13","Azerbaijan",31,4012
"14","Bahamas",44,2030
"15","Bahrain",48,3020
"16","Bangladesh",50,3025
"17","Barbados",52,2040
"18","Belarus",112,4018
"19","Belgium",56,4020
"20","Belize",84,2045
"21","Benin",204,1025
"22","Bermuda",60,2050
"23","Bhutan",64,3027
"24","Bosnia and Herzegovina",70,4025
"25","Botswana",72,1030
"26","Brazil",76,2070
"27","British Virgin Islands",92,2085
"28","Brunei Darussalam",96,3030
"29","Bulgaria",100,4030
"30","Burkina Faso",854,1035
"31","Burundi",108,1040
"32","Cambodia",116,3050
"33","Cameroon",120,1045
"34","Canada",124,2090
"35","Cayman Islands",136,2110
"36","Central African Republic",140,1070
"37","Chad",148,1080
"38","Chile",152,2120
"39","China",156,3068
"40","Colombia",170,2130
"41","Comoros",174,1090
"42","Congo",178,1100
"43","Cook Islands",184,5060
"44","Costa Rica",188,2140
"45","Croatia",191,4038
"46","Cuba",192,2150
"47","Cyprus",196,3080
"48","Democratic Republic of the Congo",180,1555
"49","Denmark",208,4050
"50","Djibouti",262,1120
"51","Dominica",212,2160
"52","Dominican Republic",214,2170
"53","Ecuador",218,2180
"54","Egypt",818,1125
"55","El Salvador",222,2190
"56","Equatorial Guinea",226,1130
"57","Eritrea",232,1135
"58","Estonia",233,4055
"59","Ethiopia",231,1140
"60","Falkland Islands (Malvinas)",238,2200
"61","Fiji",242,5070
"62","Finland",246,4070
"63","France",250,4080
"64","French Guiana",254,2210
"65","Gabon",266,1160
"66","Gambia",270,1170
"67","Georgia",268,4084
"68","Germany",276,4085
"69","Ghana",288,1180
"70","Greece",300,4140
"71","Grenada",308,2230
"72","Guadeloupe",312,2240
"73","Guatemala",320,2250
"74","Guinea",324,1190
"75","Guinea-Bissau",624,1192
"76","Guyana",328,2260
"77","Haiti",332,2270
"78","Honduras",340,2280
"79","Hungary",348,4150
"80","Iceland",352,4160
"81","India",356,3100
"82","Indonesia",360,3110
"83","Iran (Islamic Republic of)",364,3130
"84","Iraq",368,3140
"85","Ireland",372,4170
"86","Israel",376,3150
"87","Italy",380,4180
"88","Jamaica",388,2290
"89","Japan",392,3160
"90","Jordan",400,3170
"91","Kazakhstan",398,4182
"92","Kenya",404,1220
"93","Kiribati",296,5105
"94","Kuwait",414,3190
"95","Kyrgyzstan",417,4184
"96","Lao People's Democratic Republic",418,3200
"97","Latvia",428,4186
"98","Lebanon",422,3210
"99","Lesotho",426,1230
"100","Liberia",430,1240
"101","Lithuania",440,4188
"102","Luxembourg",442,4190
"103","Madagascar",450,1260
"104","Malawi",454,1270
"105","Malaysia",458,3236
"106","Maldives",462,3255
"107","Mali",466,1280
"108","Malta",470,4200
"109","Marshall Islands",584,5107
"110","Martinique",474,2300
"111","Mauritania",478,1290
"112","Mauritius",480,1300
"113","Mayotte",175,1303
"114","Mexico",484,2310
"115","Micronesia (Federated States of)",583,5108
"116","Monaco",492,4205
"117","Mongolia",496,3260
"118","Montenegro",499,4207
"119","Montserrat",500,2320
"120","Morocco",504,1310
"121","Mozambique",508,1320
"122","Myanmar",104,3270
"123","Namibia",516,1325
"124","Nauru",520,5110
"125","Nepal",524,3280
"126","Netherlands",528,4210
"127","New Zealand",554,5150
"128","Nicaragua",558,2340
"129","Niger",562,1330
"130","Nigeria",566,1340
"131","Niue",570,5170
"132","Norway",578,4220
"133","Oman",512,3285
"134","Pakistan",586,3290
"135","Palau",585,5180
"136","Panama",591,2350
"137","Papua New Guinea",598,5195
"138","Paraguay",600,2360
"139","Peru",604,2370
"140","Philippines",608,3300
"141","Poland",616,4230
"142","Portugal",620,4240
"143","Puerto Rico",630,2380
"144","Qatar",634,3320
"145","Republic of Korea",410,3325
"146","Republic of Moldova",498,4260
"147","Romania",642,4270
"148","Russian Federation",643,4272
"149","Rwanda",646,1370
"150","Saint Kitts and Nevis",659,2385
"151","Saint Lucia",662,2400
"152","Saint Pierre and Miquelon",666,2410
"153","Samoa",882,5197
"154","San Marino",674,4275
"155","Sao Tome and Principe",678,1385
"156","Saudi Arabia",682,3340
"157","Senegal",686,1390
"158","Serbia",688,4273
"159","Seychelles",690,1400
"160","Sierra Leone",694,1410
"161","Singapore",702,3350
"162","Slovakia",703,4274
"163","Slovenia",705,4276
"164","Solomon Islands",90,5198
"165","Somalia",706,1420
"166","South Africa",710,1430
"167","South Sudan",728,1460
"168","Spain",724,4280
"169","Sri Lanka",144,3365
"170","Sudan",729,1465
"171","Suriname",740,2430
"172","Swaziland",748,1480
"173","Sweden",752,4290
"174","Switzerland",756,4300
"175","Syrian Arab Republic",760,3370
"176","Tajikistan",762,4301
"177","Thailand",764,3380
"178","Togo",768,1510
"179","Tonga",776,5200
"180","Trinidad and Tobago",780,2440
"181","Tunisia",788,1520
"182","Turkey",792,3400
"183","Turkmenistan",795,4302
"184","Turks and Caicos Islands",796,2445
"185","Tuvalu",798,5205
"186","Uganda",800,1530
"187","Ukraine",804,4303
"188","United Arab Emirates",784,3405
"189","United Republic of Tanzania",834,1546
"190","United States of America",840,2450
"191","Uruguay",858,2460
"192","Uzbekistan",860,4335
"193","Vanuatu",548,5207
"194","Viet Nam",704,3408
"195","Yemen",887,3420
"196","Zambia",894,1560
"197","Zimbabwe",716,1570
