"Name","ISO3166","...1","Year","CancerDeaths","GDPPC","Pop (thousands)"
"Albania",8,135,1995,1120,770,3112.92299999999
"Albania",8,136,2005,1294,2615,3086.81
"Albania",8,137,2010,941,4056,2948.029
"Antigua and Barbuda",28,30,1985,32,3508,61.7849999999999
"Antigua and Barbuda",28,31,1995,62,7841,68.6719999999999
"Azerbaijan",31,39,1995,1411,396,7775.41799999999
"Argentina",32,40,1985,9594,3144,30216.284
"Argentina",32,41,1995,17794,7993,34828.1679999999
"Australia",36,48,1985,16806,11584,15663.672
"Australia",36,49,1995,23969,21635,17993.0829999999
"Austria",40,60,1985,10909,9112,7614.87399999999
"Austria",40,61,1995,11703,30169,7990.113
"Bahamas",44,66,1985,68,12271,234.579
"Bahamas",44,67,1995,400,18264,280.178999999999
"Bahrain",48,72,1985,54,10669,419.428
"Armenia",51,78,1995,1074,426,3217.349
"Barbados",52,79,1985,255,5569,256.26
"Barbados",52,80,1995,461,8585,265.954999999999
"Belgium",56,86,1985,7450,8746,9916.57699999999
"Belgium",56,87,1995,18122,28427,10186.304
"Bermuda",60,90,1985,37,24241,59.594
"Bermuda",60,91,1995,62,40780,63.439
"Brazil",76,124,1985,36639,1382,135274.083
"Brazil",76,125,1995,122738,4794,162019.889
"Belize",84,139,1995,70,2834,206.961999999999
"British Virgin Islands",92,145,1985,2,3396,13.951
"British Virgin Islands",92,146,1995,10,21114,19.3069999999999
"Bulgaria",100,1,1985,4666,1837,8975.35299999999
"Bulgaria",100,2,1995,6174,1723,8379.305
"Belarus",112,3,1995,1744,1412,10077.606
"Canada",124,4,1985,27984,14098,25744.807
"Canada",124,5,1995,43351,20594,29164.1529999999
"Cayman Islands",136,6,1985,8,21544,19.46
"Cayman Islands",136,7,1995,8,40930,32.161
"Sri Lanka",144,8,1985,9434,425,16176.2819999999
"Chile",152,9,1985,2996,1559,12257.2379999999
"Chile",152,10,1995,4831,5253,14380.864
"Colombia",170,11,1985,8403,1590,29951.194
"Colombia",170,12,1995,9575,2946,36421.438
"Costa Rica",188,13,1985,467,1827,2736.719
"Costa Rica",188,14,1995,889,3278,3545.52399999999
"Cuba",192,15,1985,2668,2273,10097.91
"Cuba",192,16,1995,5064,2790,10888.2459999999
"Dominica",212,17,1985,27,1586,10097.91
"Dominica",212,18,1995,77,3639,10888.2459999999
"Dominican Republic",214,19,1985,1714,866,6464.229
"Dominican Republic",214,20,1995,1972,1995,7819.23899999999
"Ecuador",218,21,1985,2748,1895,9066.1
"Ecuador",218,22,1995,3446,2135,11455.205
